naics_description,license_count,share_of_total
"Lessors of Residential Buildings and Dwellings",540,4.19
"All Other Personal Services",461,3.57
"Taxi and Ridesharing Services",418,3.24
"All Other Transit and Ground Passenger Transportation",380,2.95
"Offices of Mental Health Practitioners (except Physicians)",335,2.60
"All Other Traveler Accommodation",329,2.55
"Independent Artists, Writers, and Performers",284,2.20
"All Other Miscellaneous Retailers",254,1.97
"Administrative Management and General Management Consulting Services",246,1.91
"Residential Remodelers",243,1.88
"All Other Professional, Scientific, and Technical Services",239,1.85
"Limited-Service Restaurants",204,1.58
"Electrical Contractors and Other Wiring Installation Contractors",204,1.58
"Full-Service Restaurants",184,1.43
"Plumbing, Heating, and Air-Conditioning Contractors",181,1.40
"New Single-Family Housing Construction (except For-Sale Builders)",174,1.35
"Offices of All Other Miscellaneous Health Practitioners",174,1.35
"Beauty Salons",170,1.32
"Offices of Lawyers",164,1.27
"Limousine Service",152,1.18
"Custom Computer Programming Services",151,1.17
"All Other Specialty Trade Contractors",143,1.11
"Bed-and-Breakfast Inns",125,0.97
"Offices of Real Estate Agents and Brokers",124,0.96
"Child Care Services",121,0.94
"Janitorial Services",118,0.91
"Architectural Services",115,0.89
"Residential Property Managers",110,0.85
"Landscaping Services",104,0.81
"Mobile Food Services",104,0.81
"Clothing and Clothing Accessories Retailers",104,0.81
"Graphic Design Services",102,0.79
"Other Activities Related to Real Estate",99,0.77
"Marketing Consulting Services",94,0.73
"Other Individual and Family Services",93,0.72
"Parking Lots and Garages",92,0.71
"Other Management Consulting Services",89,0.69
"Other Accounting Services",85,0.66
"Engineering Services",73,0.57
"Offices of Physicians (except Mental Health Specialists)",70,0.54
"Painting and Wall Covering Contractors",68,0.53
"Computer Systems Design Services",68,0.53
"Commercial and Institutional Building Construction",63,0.49
"Interior Design Services",62,0.48
"All Other Miscellaneous Schools and Instruction",61,0.47
"Other Personal Care Services",59,0.46
"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",59,0.46
"Fitness and Recreational Sports Centers",59,0.46
"Other Computer Related Services",58,0.45
"Jewelry Retailers",56,0.43
"All Other Amusement and Recreation Industries",54,0.42
"Educational Support Services",54,0.42
"Software Publishers",53,0.41
"Photography Studios, Portrait",53,0.41
"Used Merchandise Retailers",52,0.40
Caterers,51,0.40
"Other Scientific and Technical Consulting Services",51,0.40
"Portfolio Management and Investment Advice",49,0.38
"Motion Picture and Video Production",49,0.38
"Offices of Physicians, Mental Health Specialists",49,0.38
"Research and Development in Biotechnology (except Nanobiotechnology)",48,0.37
"Offices of Dentists",47,0.36
"Snack and Nonalcoholic Beverage Bars",46,0.36
"Lessors of Nonresidential Buildings (except Miniwarehouses)",45,0.35
"Other Personal and Household Goods Repair and Maintenance",45,0.35
"Temporary Help Services",43,0.33
"All Other General Merchandise Retailers",43,0.33
"Drinking Places (Alcoholic Beverages)",41,0.32
"Site Preparation Contractors",40,0.31
"Insurance Agencies and Brokerages",40,0.31
"Other Miscellaneous Nondurable Goods Merchant Wholesalers",40,0.31
"Offices of Physical, Occupational and Speech Therapists, and Audiologists",39,0.30
"Lessors of Other Real Estate Property",38,0.29
"Drywall and Insulation Contractors",38,0.29
"Gift, Novelty, and Souvenir Retailers",37,0.29
"Electronics and Appliance Retailers",37,0.29
"Barber Shops",36,0.28
"Pet Care (except Veterinary) Services",36,0.28
"Fine Arts Schools",33,0.26
"Civic and Social Organizations",33,0.26
"All Other Health and Personal Care Retailers",32,0.25
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",32,0.25
"Commercial Banking",31,0.24
"Finish Carpentry Contractors",31,0.24
"Office Administrative Services",31,0.24
"General Automotive Repair",30,0.23
"Security Systems Services (except Locksmiths)",30,0.23
"Promoters of Performing Arts, Sports, and Similar Events without Facilities",29,0.22
"Poured Concrete Foundation and Structure Contractors",29,0.22
"Musical Groups and Artists",29,0.22
"Landscape Architectural Services",29,0.22
"Other Social Advocacy Organizations",28,0.22
"Roofing Contractors",28,0.22
"Commercial Photography",28,0.22
"Administration of Conservation Programs",28,0.22
"Hotels (except Casino Hotels) and Motels",27,0.21
"Convenience Retailers",27,0.21
"Cosmetics, Beauty Supplies, and Perfume Retailers",27,0.21
"Supermarkets and Other Grocery Retailers (except Convenience Retailers)",27,0.21
"Elementary and Secondary Schools",27,0.21
"New Multifamily Housing Construction (except For-Sale Builders)",26,0.20
"Offices of Other Holding Companies",26,0.20
"Sports and Recreation Instruction",26,0.20
"All Other Miscellaneous Manufacturing",26,0.20
"Wired Telecommunications Carriers",25,0.19
"Food Service Contractors",25,0.19
"Other Building Finishing Contractors",24,0.19
"Art Dealers",24,0.19
"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",23,0.18
"General Freight Trucking, Local",23,0.18
"Professional Organizations",22,0.17
"Other Electronic Parts and Equipment Merchant Wholesalers",22,0.17
Florists,22,0.17
"Veterinary Services",22,0.17
"Retail Bakeries",21,0.16
"Offices of Chiropractors",21,0.16
"Professional and Management Development Training",21,0.16
"Human Resources Consulting Services",21,0.16
"Security Guards and Patrol Services",21,0.16
"Book Publishers",20,0.16
"Nail Salons",20,0.16
"Web Search Portals and All Other Information Services",20,0.16
"Furniture Retailers",20,0.16
"Business Associations",19,0.15
"Advertising Agencies",19,0.15
"Highway, Street, and Bridge Construction",19,0.15
"Other General Government Support",19,0.15
"All Other Specialty Food Retailers",18,0.14
"Translation and Interpretation Services",18,0.14
"Theater Companies and Dinner Theaters",17,0.13
"Glass and Glazing Contractors",17,0.13
"Employment Placement Agencies",17,0.13
"Other Specialized Design Services",17,0.13
"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",17,0.13
"Home Health Care Services",17,0.13
"Offices of Certified Public Accountants",16,0.12
"Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance",16,0.12
"Environmental Consulting Services",16,0.12
"Jewelry and Silverware Manufacturing",16,0.12
"Nonresidential Property Managers",15,0.12
"New Housing For-Sale Builders",15,0.12
"Masonry Contractors",15,0.12
"Hobby, Toy, and Game Retailers",15,0.12
"Book Retailers and News Dealers",15,0.12
"Other Grocery and Related Products Merchant Wholesalers",15,0.12
"Outpatient Mental Health and Substance Abuse Centers",15,0.12
"All Other Business Support Services",15,0.12
"Sporting Goods Retailers",15,0.12
"Rooming and Boarding Houses, Dormitories, and Workers' Camps",14,0.11
"Other Services to Buildings and Dwellings",14,0.11
"Flooring Contractors",14,0.11
"Drycleaning and Laundry Services (except Coin-Operated)",14,0.11
"Gasoline Stations with Convenience Stores",14,0.11
"Public Relations Agencies",14,0.11
"All Other Home Furnishings Retailers",14,0.11
"Miscellaneous Financial Investment Activities",13,0.10
"Other Building Material Dealers",13,0.10
"Pet and Pet Supplies Retailers",13,0.10
"Industrial Machinery and Equipment Merchant Wholesalers",13,0.10
"Motor Vehicle Towing",13,0.10
"All Other Legal Services",13,0.10
"Other Miscellaneous Durable Goods Merchant Wholesalers",13,0.10
"Freight Transportation Arrangement",13,0.10
"Other Heavy and Civil Engineering Construction",13,0.10
"All Other Consumer Goods Rental",13,0.10
"Credit Unions",13,0.10
"Water and Sewer Line and Related Structures Construction",12,0.09
"Used Car Dealers",12,0.09
"Telecommunications Resellers",12,0.09
"Building Inspection Services",12,0.09
"All Other Miscellaneous Ambulatory Health Care Services",12,0.09
"Commercial Bakeries",12,0.09
"Car Washes",12,0.09
"Child and Youth Services",12,0.09
"Siding Contractors",12,0.09
"Private Households",12,0.09
"Exterminating and Pest Control Services",12,0.09
"Power and Communication Line and Related Structures Construction",12,0.09
"All Other Support Services",12,0.09
"Finfish Fishing",12,0.09
"Corporate, Subsidiary, and Regional Managing Offices",12,0.09
"Other Services Related to Advertising",11,0.09
"Roofing, Siding, and Insulation Material Merchant Wholesalers",11,0.09
"Mortgage and Nonmortgage Loan Brokers",11,0.09
"Apparel Accessories and Other Apparel Manufacturing",11,0.09
"Other Commercial and Industrial Machinery and Equipment Rental and Leasing",11,0.09
"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",11,0.09
"Coffee and Tea Manufacturing",11,0.09
"Commercial Printing (except Screen and Books)",11,0.09
"Baked Goods Retailers",11,0.09
"Grantmaking Foundations",10,0.08
"Environment, Conservation and Wildlife Organizations",10,0.08
"Services for the Elderly and Persons with Disabilities",10,0.08
"Remediation Services",10,0.08
"All Other Support Activities for Transportation",10,0.08
"Other Professional Equipment and Supplies Merchant Wholesalers",10,0.08
"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",10,0.08
"Research and Development in the Social Sciences and Humanities",10,0.08
"Carpet and Upholstery Cleaning Services",10,0.08
"Industrial Building Construction",10,0.08
"Other Chemical and Allied Products Merchant Wholesalers",10,0.08
"New Car Dealers",10,0.08
"Fish and Seafood Merchant Wholesalers",10,0.08
"Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)",10,0.08
"Drugs and Druggists' Sundries Merchant Wholesalers",10,0.08
"Line-Haul Railroads",10,0.08
"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers",9,0.07
"Sewing, Needlework, and Piece Goods Retailers",9,0.07
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",9,0.07
"Assisted Living Facilities for the Elderly",9,0.07
"Fabricated Structural Metal Manufacturing",9,0.07
"Ornamental and Architectural Metal Work Manufacturing",9,0.07
"Pottery, Ceramics, and Plumbing Fixture Manufacturing",9,0.07
"Other Building Equipment Contractors",9,0.07
"Clothing and Clothing Accessories Merchant Wholesalers",9,0.07
"Document Preparation Services",9,0.07
"Court Reporting and Stenotype Services",9,0.07
"Industrial Design Services",9,0.07
"Investment Banking and Securities Intermediation",9,0.07
"Automotive Body, Paint, and Interior Repair and Maintenance",8,0.06
"Lessors of Miniwarehouses and Self-Storage Units",8,0.06
"All Other Publishers",8,0.06
"Nonupholstered Wood Household Furniture Manufacturing",8,0.06
"Other Construction Material Merchant Wholesalers",8,0.06
"Tour Operators",8,0.06
"Solid Waste Collection",8,0.06
"Sporting and Recreational Goods and Supplies Merchant Wholesalers",8,0.06
"Dance Companies",8,0.06
"Computer and Computer Peripheral Equipment and Software Merchant Wholesalers",8,0.06
"Other Performing Arts Companies",8,0.06
"Sign Manufacturing",8,0.06
"Floor Covering Retailers",8,0.06
"Religious Organizations",8,0.06
"Pharmacies and Drug Retailers",8,0.06
"Automotive Parts and Accessories Retailers",8,0.06
"Tile and Terrazzo Contractors",8,0.06
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",8,0.06
"Reupholstery and Furniture Repair",8,0.06
"Nursery, Garden Center, and Farm Supply Retailers",8,0.06
"Passenger Car Rental",8,0.06
"Office Machinery and Equipment Rental and Leasing",7,0.05
"Industrial Supplies Merchant Wholesalers",7,0.05
"Surveying and Mapping (except Geophysical) Services",7,0.05
"Media Buying Agencies",7,0.05
"Food (Health) Supplement Retailers",7,0.05
"Wine and Distilled Alcoholic Beverage Merchant Wholesalers",7,0.05
"Telemarketing Bureaus and Other Contact Centers",7,0.05
"Hardware Merchant Wholesalers",7,0.05
"Analytical Laboratory Instrument Manufacturing",7,0.05
"Structural Steel and Precast Concrete Contractors",7,0.05
"General Line Grocery Merchant Wholesalers",7,0.05
"Local Messengers and Local Delivery",7,0.05
"Home and Garden Equipment Repair and Maintenance",7,0.05
"Other Support Activities for Road Transportation",7,0.05
"Convention and Trade Show Organizers",7,0.05
"Other Grantmaking and Giving Services",7,0.05
"Miscellaneous Intermediation",7,0.05
"Offices of Real Estate Appraisers",7,0.05
"Sports Teams and Clubs",7,0.05
"Monetary Authorities-Central Bank",7,0.05
"Perishable Prepared Food Manufacturing",6,0.05
"All Other Miscellaneous Fabricated Metal Product Manufacturing",6,0.05
"Cafeterias, Grill Buffets, and Buffets",6,0.05
"Office Supplies and Stationery Retailers",6,0.05
"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",6,0.05
"Furniture Merchant Wholesalers",6,0.05
"Home Furnishing Merchant Wholesalers",6,0.05
"Passenger Car Leasing",6,0.05
"Wholesale Trade Agents and Brokers",6,0.05
"Vending Machine Operators",6,0.05
"Fruit and Vegetable Retailers",6,0.05
"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",6,0.05
"General Rental Centers",6,0.05
"Couriers and Express Delivery Services",6,0.05
"Used Household and Office Goods Moving",6,0.05
"All Other Travel Arrangement and Reservation Services",6,0.05
"Electronic and Precision Equipment Repair and Maintenance",6,0.05
"Marketing Research and Public Opinion Polling",6,0.05
"Process, Physical Distribution, and Logistics Consulting Services",6,0.05
"Voluntary Health Organizations",6,0.05
"Travel Agencies",6,0.05
"Specialized Freight (except Used Goods) Trucking, Local",6,0.05
"Stationery and Office Supplies Merchant Wholesalers",6,0.05
"Savings Institutions and Other Depository Credit Intermediation",6,0.05
"Other Residential Care Facilities",5,0.04
"Coin-Operated Laundries and Drycleaners",5,0.04
"Other Financial Vehicles",5,0.04
"Meat Retailers",5,0.04
"All Other Automotive Repair and Maintenance",5,0.04
"Plumbing Fixture Fitting and Trim Manufacturing",5,0.04
Locksmiths,5,0.04
