ownership_type,license_count,share_of_total
"Sole proprietorship",3283,25.46
Corporation,3099,24.03
"LLC - Single Member",2797,21.69
"LLC - Multi Member",2622,20.33
Other,435,3.37
"Non Profit Corporation",137,1.06
Association,109,0.85
"Limited Liability Limited Ptrs",108,0.84
"Professional Association",98,0.76
"Limited Liability Ptrs LLP",88,0.68
"General Partnership",87,0.67
"Limited Partnership",20,0.16
"Joint Venture",5,0.04
Municipality,4,0.03
Trust,2,0.02
"LLC Limited Liability Co",2,0.02
"Tribal Government",1,0.01
