license_start_year,license_count
1900,2
1910,1
1941,1
1942,1
1944,1
1946,1
1949,1
1950,1
1953,1
1954,2
1955,1
1957,1
1958,3
1959,2
1960,1
1961,3
1962,3
1963,2
1964,4
1965,1
1966,5
1967,4
1968,4
1969,10
1970,3
1971,6
1972,6
1973,9
1974,8
1975,8
1976,16
1977,11
1978,13
1979,7
1980,17
1981,16
1982,28
1983,29
1984,40
1985,41
1986,52
1987,70
1988,42
1989,51
1990,56
1991,72
1992,69
1993,80
1994,67
1995,75
1996,104
1997,112
1998,120
1999,107
2000,134
2001,131
2002,152
2003,176
2004,170
2005,173
2006,183
2007,245
2008,275
2009,314
2010,232
2011,262
2012,336
2013,343
2014,367
2015,432
2016,456
2017,508
2018,618
2019,630
2020,455
2021,567
2022,729
2023,894
2024,951
2025,1057
2026,695
