zip_5,license_count,share_of_seattle_records
98103,688,7.81
98101,529,6.01
98118,513,5.83
98109,471,5.35
98107,465,5.28
98122,460,5.22
98115,438,4.97
98108,373,4.24
98104,366,4.16
98144,364,4.13
98117,359,4.08
98125,337,3.83
98105,333,3.78
98121,331,3.76
98116,324,3.68
98102,284,3.23
98119,272,3.09
98112,260,2.95
98133,251,2.85
98199,216,2.45
98106,210,2.39
98126,210,2.39
98134,208,2.36
98136,156,1.77
98178,114,1.29
98146,90,1.02
98177,87,0.99
98168,43,0.49
98154,8,0.09
98188,4,0.05
98161,4,0.05
98164,4,0.05
98155,3,0.03
98111,2,0.02
98175,2,0.02
98001,2,0.02
98374,2,0.02
98166,2,0.02
98113,2,0.02
98114,2,0.02
98145,2,0.02
98195,2,0.02
98148,2,0.02
98198,1,0.01
98124,1,0.01
98181,1,0.01
98186,1,0.01
98123,1,0.01
98046,1,0.01
98165,1,0.01
98139,1,0.01
98016,1,0.01
98160,1,0.01
